Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source
131337,Apache Music (PM),131337,Apache Music (PM),6095204,Expansion,Seed,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,0.01,50,0.01,F,AdRev,26,276,USA,United States of America,"Ed Seed, PRS",GX5CJ2100331,APA054 PUNK FUNK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6086692,Acceleration,Burns,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.09,50,0.05,F,AdRev,26,538,USA,United States of America,"Michael Burns, PRS",GX5CJ2100170,APA029 MOMENTUM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088977,Route 98,Coupe/Downes,MCPS,MCPS,1,Mechanicals,Mechanical,LOADED IN PARAD,0,202501202506,100,0.8,50,0.4,D,,25,3568,IRL,Ireland,,,Mcpsi Virgin Media 2 General,,,Irish Blanket,Virgin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095931,Summer Ride,Cousins,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,1.13,50,0.57,F,AdRev,26,276,USA,United States of America,"John Samuel Hanson (BMI), Yoav Goren (BMI), Jeffrey Fayman (",QMSTJ1100993,1RM012 Tender & Romantic 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6167025,Industrial Rainfall,Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,0.32,50,0.16,F,AdRev,26,276,USA,United States of America,Thomas Trueman (PRS),GX5CJ2100385,APA062 INDUSTRIAL BEATS VOL.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
